# Engine event dates; generated by tools/ExportEngineEventDates.java.
# Holy days: 1980-2050; recurrences only outside captured years 2000-2030.
# Calculated dates, not official holiday declarations.
# columns=id,date
sil	1982-07-28
sil	1982-08-04
sil	1982-08-12
sil	1982-08-18
sil	1982-08-26
sil	1982-09-02
calculated:ben_1	1982-09-03
calculated:ben_2	1982-09-04
calculated:ben_3	1982-09-05
calculated:ben_4	1982-09-06
calculated:ben_5	1982-09-07
calculated:ben_6	1982-09-08
calculated:ben_7	1982-09-09
calculated:ben_8	1982-09-10
sil	1982-09-10
calculated:ben_9	1982-09-11
calculated:ben_10	1982-09-12
calculated:ben_11	1982-09-13
calculated:ben_12	1982-09-14
calculated:ben_13	1982-09-15
calculated:pchum_ben_festival	1982-09-16
calculated:pchum_ben_festival	1982-09-17
sil	1982-09-17
calculated:pchum_ben_festival	1982-09-18
sil	1982-09-25
calculated:ending_buddhist_lent	1982-10-02
sil	1982-10-02
calculated:kathen_kal	1982-10-03
sil	1982-10-10
sil	1982-10-16
sil	1982-10-24
calculated:water_festival	1982-10-30
calculated:water_festival	1982-10-31
sil	1982-10-31
calculated:water_festival	1982-11-01
sil	1982-11-08
sil	1982-11-15
sil	1982-11-23
sil	1982-11-30
sil	1982-12-08
sil	1982-12-14
sil	1982-12-22
calculated:christmas_day	1982-12-25
sil	1982-12-29
calculated:new_year_day	1983-01-01
sil	1983-01-06
sil	1983-01-13
sil	1983-01-21
calculated:meak_bochea	1983-01-28
sil	1983-01-28
sil	1983-02-05
sil	1983-02-11
calculated:valentine_day	1983-02-14
sil	1983-02-19
sil	1983-02-26
sil	1983-03-06
sil	1983-03-13
sil	1983-03-21
sil	1983-03-28
sil	1983-04-05
sil	1983-04-11
calculated:khmer_new_year_1	1983-04-14
calculated:khmer_new_year_2	1983-04-15
calculated:khmer_new_year_3	1983-04-16
sil	1983-04-19
calculated:visak_bochea	1983-04-26
sil	1983-04-26
calculated:royal_ploughing_ceremony	1983-04-30
sil	1983-05-04
sil	1983-05-11
sil	1983-05-19
sil	1983-05-26
sil	1983-06-03
sil	1983-06-09
sil	1983-06-17
sil	1983-06-24
sil	1983-07-02
sil	1983-07-09
calculated:buddhist_lent_candles_making_day	1983-07-17
sil	1983-07-17
calculated:the_ordained_dragon_monk	1983-07-23
sil	1983-07-24
calculated:beginning_buddhist_lent	1983-07-25
sil	1983-08-01
sil	1983-08-08
sil	1983-08-16
sil	1983-08-23
sil	1983-08-31
sil	1983-09-06
sil	1983-09-14
sil	1983-09-21
calculated:ben_1	1983-09-22
calculated:ben_2	1983-09-23
calculated:ben_3	1983-09-24
calculated:ben_4	1983-09-25
calculated:ben_5	1983-09-26
calculated:ben_6	1983-09-27
calculated:ben_7	1983-09-28
calculated:ben_8	1983-09-29
sil	1983-09-29
calculated:ben_9	1983-09-30
calculated:ben_10	1983-10-01
calculated:ben_11	1983-10-02
calculated:ben_12	1983-10-03
calculated:ben_13	1983-10-04
calculated:pchum_ben_festival	1983-10-05
calculated:pchum_ben_festival	1983-10-06
sil	1983-10-06
calculated:pchum_ben_festival	1983-10-07
sil	1983-10-14
calculated:ending_buddhist_lent	1983-10-21
sil	1983-10-21
calculated:kathen_kal	1983-10-22
sil	1983-10-29
sil	1983-11-04
sil	1983-11-12
calculated:water_festival	1983-11-18
calculated:water_festival	1983-11-19
sil	1983-11-19
calculated:water_festival	1983-11-20
sil	1983-11-27
sil	1983-12-04
sil	1983-12-12
sil	1983-12-19
calculated:christmas_day	1983-12-25
sil	1983-12-27
calculated:new_year_day	1984-01-01
sil	1984-01-02
sil	1984-01-10
sil	1984-01-17
sil	1984-01-25
sil	1984-02-01
sil	1984-02-09
calculated:valentine_day	1984-02-14
calculated:meak_bochea	1984-02-16
sil	1984-02-16
sil	1984-02-24
sil	1984-03-01
sil	1984-03-09
sil	1984-03-16
sil	1984-03-24
sil	1984-03-31
sil	1984-04-08
calculated:khmer_new_year_1	1984-04-13
calculated:khmer_new_year_2	1984-04-14
calculated:khmer_new_year_3	1984-04-15
sil	1984-04-15
sil	1984-04-23
sil	1984-04-29
sil	1984-05-07
calculated:visak_bochea	1984-05-14
sil	1984-05-14
calculated:royal_ploughing_ceremony	1984-05-18
sil	1984-05-22
sil	1984-05-29
sil	1984-06-06
sil	1984-06-13
sil	1984-06-21
sil	1984-06-28
calculated:buddhist_lent_candles_making_day	1984-07-06
sil	1984-07-06
calculated:the_ordained_dragon_monk	1984-07-12
sil	1984-07-13
calculated:beginning_buddhist_lent	1984-07-14
sil	1984-07-21
sil	1984-07-28
sil	1984-08-05
sil	1984-08-12
sil	1984-08-20
sil	1984-08-26
sil	1984-09-03
sil	1984-09-10
calculated:ben_1	1984-09-11
calculated:ben_2	1984-09-12
calculated:ben_3	1984-09-13
calculated:ben_4	1984-09-14
calculated:ben_5	1984-09-15
calculated:ben_6	1984-09-16
calculated:ben_7	1984-09-17
calculated:ben_8	1984-09-18
sil	1984-09-18
calculated:ben_9	1984-09-19
calculated:ben_10	1984-09-20
calculated:ben_11	1984-09-21
calculated:ben_12	1984-09-22
calculated:ben_13	1984-09-23
calculated:pchum_ben_festival	1984-09-24
calculated:pchum_ben_festival	1984-09-25
sil	1984-09-25
calculated:pchum_ben_festival	1984-09-26
sil	1984-10-03
calculated:ending_buddhist_lent	1984-10-10
sil	1984-10-10
calculated:kathen_kal	1984-10-11
sil	1984-10-18
sil	1984-10-24
sil	1984-11-01
calculated:water_festival	1984-11-07
calculated:water_festival	1984-11-08
sil	1984-11-08
calculated:water_festival	1984-11-09
sil	1984-11-16
sil	1984-11-23
sil	1984-12-01
sil	1984-12-08
sil	1984-12-16
sil	1984-12-22
calculated:christmas_day	1984-12-25
sil	1984-12-30
calculated:new_year_day	1985-01-01
sil	1985-01-06
sil	1985-01-14
sil	1985-01-21
sil	1985-01-29
calculated:meak_bochea	1985-02-05
sil	1985-02-05
sil	1985-02-13
calculated:valentine_day	1985-02-14
sil	1985-02-19
sil	1985-02-27
sil	1985-03-06
sil	1985-03-14
sil	1985-03-21
sil	1985-03-29
sil	1985-04-05
calculated:khmer_new_year_1	1985-04-13
sil	1985-04-13
calculated:khmer_new_year_2	1985-04-14
calculated:khmer_new_year_2	1985-04-15
calculated:khmer_new_year_3	1985-04-16
sil	1985-04-19
sil	1985-04-27
calculated:visak_bochea	1985-05-04
sil	1985-05-04
calculated:royal_ploughing_ceremony	1985-05-08
sil	1985-05-12
sil	1985-05-19
sil	1985-05-27
sil	1985-06-03
sil	1985-06-11
sil	1985-06-17
sil	1985-06-25
sil	1985-07-02
sil	1985-07-10
sil	1985-07-17
calculated:buddhist_lent_candles_making_day	1985-07-25
sil	1985-07-25
calculated:the_ordained_dragon_monk	1985-07-31
sil	1985-08-01
calculated:beginning_buddhist_lent	1985-08-02
sil	1985-08-09
sil	1985-08-16
sil	1985-08-24
sil	1985-08-31
sil	1985-09-08
sil	1985-09-14
sil	1985-09-22
sil	1985-09-29
calculated:ben_1	1985-09-30
calculated:ben_2	1985-10-01
calculated:ben_3	1985-10-02
calculated:ben_4	1985-10-03
calculated:ben_5	1985-10-04
calculated:ben_6	1985-10-05
calculated:ben_7	1985-10-06
calculated:ben_8	1985-10-07
sil	1985-10-07
calculated:ben_9	1985-10-08
calculated:ben_10	1985-10-09
calculated:ben_11	1985-10-10
calculated:ben_12	1985-10-11
calculated:ben_13	1985-10-12
calculated:pchum_ben_festival	1985-10-13
calculated:pchum_ben_festival	1985-10-14
sil	1985-10-14
calculated:pchum_ben_festival	1985-10-15
sil	1985-10-22
calculated:ending_buddhist_lent	1985-10-29
sil	1985-10-29
calculated:kathen_kal	1985-10-30
sil	1985-11-06
sil	1985-11-12
sil	1985-11-20
calculated:water_festival	1985-11-26
calculated:water_festival	1985-11-27
sil	1985-11-27
calculated:water_festival	1985-11-28
sil	1985-12-05
sil	1985-12-12
sil	1985-12-20
calculated:christmas_day	1985-12-25
sil	1985-12-27
calculated:new_year_day	1986-01-01
sil	1986-01-04
sil	1986-01-10
sil	1986-01-18
sil	1986-01-25
sil	1986-02-02
sil	1986-02-09
calculated:valentine_day	1986-02-14
sil	1986-02-17
calculated:meak_bochea	1986-02-24
sil	1986-02-24
sil	1986-03-04
sil	1986-03-10
sil	1986-03-18
sil	1986-03-25
sil	1986-04-02
sil	1986-04-09
calculated:khmer_new_year_1	1986-04-14
calculated:khmer_new_year_2	1986-04-15
calculated:khmer_new_year_3	1986-04-16
sil	1986-04-17
sil	1986-04-24
sil	1986-05-02
sil	1986-05-08
sil	1986-05-16
calculated:visak_bochea	1986-05-23
sil	1986-05-23
calculated:royal_ploughing_ceremony	1986-05-27
sil	1986-05-31
sil	1986-06-07
sil	1986-06-15
sil	1986-06-22
sil	1986-06-30
sil	1986-07-06
calculated:buddhist_lent_candles_making_day	1986-07-14
sil	1986-07-14
calculated:the_ordained_dragon_monk	1986-07-20
sil	1986-07-21
calculated:beginning_buddhist_lent	1986-07-22
sil	1986-07-29
sil	1986-08-05
sil	1986-08-13
sil	1986-08-20
sil	1986-08-28
sil	1986-09-03
sil	1986-09-11
sil	1986-09-18
calculated:ben_1	1986-09-19
calculated:ben_2	1986-09-20
calculated:ben_3	1986-09-21
calculated:ben_4	1986-09-22
calculated:ben_5	1986-09-23
calculated:ben_6	1986-09-24
calculated:ben_7	1986-09-25
calculated:ben_8	1986-09-26
sil	1986-09-26
calculated:ben_9	1986-09-27
calculated:ben_10	1986-09-28
calculated:ben_11	1986-09-29
calculated:ben_12	1986-09-30
calculated:ben_13	1986-10-01
calculated:pchum_ben_festival	1986-10-02
calculated:pchum_ben_festival	1986-10-03
sil	1986-10-03
calculated:pchum_ben_festival	1986-10-04
sil	1986-10-11
calculated:ending_buddhist_lent	1986-10-18
sil	1986-10-18
calculated:kathen_kal	1986-10-19
sil	1986-10-26
sil	1986-11-01
sil	1986-11-09
calculated:water_festival	1986-11-15
calculated:water_festival	1986-11-16
sil	1986-11-16
calculated:water_festival	1986-11-17
sil	1986-11-24
sil	1986-12-01
sil	1986-12-09
sil	1986-12-16
sil	1986-12-24
calculated:christmas_day	1986-12-25
sil	1986-12-30
calculated:new_year_day	1987-01-01
sil	1987-01-07
sil	1987-01-14
sil	1987-01-22
sil	1987-01-29
sil	1987-02-06
calculated:meak_bochea	1987-02-13
sil	1987-02-13
calculated:valentine_day	1987-02-14
sil	1987-02-21
sil	1987-02-27
sil	1987-03-07
sil	1987-03-14
sil	1987-03-22
sil	1987-03-29
sil	1987-04-06
sil	1987-04-13
calculated:khmer_new_year_1	1987-04-14
calculated:khmer_new_year_2	1987-04-15
calculated:khmer_new_year_3	1987-04-16
sil	1987-04-21
sil	1987-04-27
sil	1987-05-05
calculated:visak_bochea	1987-05-12
sil	1987-05-12
calculated:royal_ploughing_ceremony	1987-05-16
sil	1987-05-20
sil	1987-05-27
sil	1987-06-04
sil	1987-06-11
sil	1987-06-19
sil	1987-06-25
calculated:buddhist_lent_candles_making_day	1987-07-03
sil	1987-07-03
calculated:the_ordained_dragon_monk	1987-07-09
sil	1987-07-10
calculated:beginning_buddhist_lent	1987-07-11
sil	1987-07-18
sil	1987-07-25
sil	1987-08-02
sil	1987-08-09
sil	1987-08-17
sil	1987-08-23
sil	1987-08-31
sil	1987-09-07
calculated:ben_1	1987-09-08
calculated:ben_2	1987-09-09
calculated:ben_3	1987-09-10
calculated:ben_4	1987-09-11
calculated:ben_5	1987-09-12
calculated:ben_6	1987-09-13
calculated:ben_7	1987-09-14
calculated:ben_8	1987-09-15
sil	1987-09-15
calculated:ben_9	1987-09-16
calculated:ben_10	1987-09-17
calculated:ben_11	1987-09-18
calculated:ben_12	1987-09-19
calculated:ben_13	1987-09-20
calculated:pchum_ben_festival	1987-09-21
calculated:pchum_ben_festival	1987-09-22
sil	1987-09-22
calculated:pchum_ben_festival	1987-09-23
sil	1987-09-30
calculated:ending_buddhist_lent	1987-10-07
sil	1987-10-07
calculated:kathen_kal	1987-10-08
sil	1987-10-15
sil	1987-10-21
sil	1987-10-29
calculated:water_festival	1987-11-04
calculated:water_festival	1987-11-05
sil	1987-11-05
calculated:water_festival	1987-11-06
sil	1987-11-13
sil	1987-11-20
sil	1987-11-28
sil	1987-12-05
sil	1987-12-13
sil	1987-12-19
calculated:christmas_day	1987-12-25
sil	1987-12-27
calculated:new_year_day	1988-01-01
sil	1988-01-03
sil	1988-01-11
sil	1988-01-18
sil	1988-01-26
calculated:meak_bochea	1988-02-02
sil	1988-02-02
sil	1988-02-10
calculated:valentine_day	1988-02-14
sil	1988-02-16
sil	1988-02-24
sil	1988-03-02
sil	1988-03-10
sil	1988-03-17
sil	1988-03-25
sil	1988-04-01
sil	1988-04-09
calculated:khmer_new_year_1	1988-04-13
calculated:khmer_new_year_2	1988-04-14
calculated:khmer_new_year_3	1988-04-15
sil	1988-04-15
sil	1988-04-23
calculated:visak_bochea	1988-04-30
sil	1988-04-30
