# Khmer Calendar event snapshot v1
# source=https://khmer-lunar-calendar.com/
# captured_at=2026-09-10T05:42:30.174Z
# coverage=2000-01-01/2030-12-31
# database_sha256=6efda12f4ec4435fe43e3a11da00bea2e2d305149d64062c5c60f04f7f5765d1
# columns=id,date,title_km,title_en,official_source_url
84210d1cc27cfcd7c8c22641	2000-06-15	តុលា​ការ​យុត្តិ​ធម៌​អន្តរ​ជាតិ​ក្រុង​ឡា​អេ សម្រេច​ឱ្យ​កម្ពុជាជាម្ចាស់កម្មសិទ្ធិ លើប្រាសាទព្រះវិហារ ខួបលើកទី៣៨	International Court of Justice in The Hague declared Cambodia is the owner of the Preah Vihear Temple	
77b5eff3d5b78f119abf5de2	2000-06-18	ព្រះ​រាជ​ពិធី​បុណ្យ​ចម្រើន​ព្រះ​ជន្ម សម្តេច​ព្រះ​មហាក្សត្រី នរោត្តម មុនិនាថ សីហនុ ព្រះ​វររាជ​មាតា​ជាតិ​ខ្មែរ ក្នុង​សេរីភាព សេចក្តីថ្លៃថ្នូរ និង​សុភមង្គល	Queen Mother's Birthday	
a8eae41f876465e513b85b09	2000-06-18	ទិវា​លោក​ឪពុក	Father's Day	
05d91b2e15fe1692344c7884	2000-06-26	ទិវា​អន្តរ​ជាតិ​ប្រយុទ្ធ​ប្រឆាំង​គ្រឿង​ញៀន	International Day Against Drug Abuse and Illicit Trafficking	
39a3cdb0f125fa579ede0372	2000-07-03	កម្ពុជា​ចូល​ជា​សមា​ជិក​អង្គ​ការ​យូណេស្កូ ខួបលើកទី៤៩	Cambodia joined UNESCO	
c73e45a2b6f6fb2fc663f178	2000-07-09	ពិធី​សិត​ទៀន​ព្រះ​វស្សា	Buddhist Lent Candles Making Day	
e0fbcf0173f522f11f6ef5de	2000-07-09	រុក្ខ​ទិវា	Arbor Day	
88b7c6f263dcbb60f59171b9	2000-07-11	ទិវា​ជាតិ​ប្រជាជន និងប្រជាជន​ពិភព​លោក	National Population Day and World Population Day	
0885a1989e14164b19195db6	2000-07-15	បំបួស​នាគ​ខ្នាន	The Ordained Dragon Monk	
84b0aae15387dbc2aa7c3496	2000-07-17	ចូល​ព្រះ​វស្សា	Beginning of Buddhist Lent	
ae286eb579c846feb24fe132	2000-08-09	ទិវា​អន្តរ​ជាតិ​ជនជាតិដើមភាគតិចពិភពលោក	International Day of the World's Indigenous Peoples	
c23aefbf7e6d93c037101b58	2000-08-12	ទិវា​យុវជន​អន្តរ​ជាតិ	International Youth Day	
94d66e581430048f955ad3de	2000-08-14	សែន​ក្បាល​ទឹក	Ghost Festival	
eaae824cb3646fa8a5b76961	2000-09-08	ទិវា​អក្ខរ​កម្ម​អន្តរ​ជាតិ	International Literacy Day	
03ddb523cc729fcf340810e9	2000-09-12	សែន​លោក​ខែ	Mid-Autumn Festival	
16a495681f27797bb5a1c0c1	2000-09-14	បិណ្ឌ ១	Ben 1	
8662fb28ece3abeef59ca061	2000-09-15	បិណ្ឌ ២	Ben 2	
65cb3016840caa7cb5ed0385	2000-09-16	ទិវា​អូ​ហ្សូន​បរិ​ស្ថាន​អន្តរ​ជាតិ ខួបលើកទី១៥	International Day for the Preservation of the Ozone Layer	
bb246b46926878b6338fc1e5	2000-09-16	បិណ្ឌ ៣	Ben 3	
c0f2e25bdbeb755c870e4c25	2000-09-17	បិណ្ឌ ៤	Ben 4	
d1b2cb9b8961c9dd25252049	2000-09-18	បិណ្ឌ ៥	Ben 5	
cdeab71c9e6286b4bc834f56	2000-09-19	បិណ្ឌ ៦	Ben 6	
